UTM LinePoints 1 Points:
584.349284684,490.501880768
566.743302746,511.044690959
UTM LinePoints 25 Points:
640.054106925,425.639739253
632.455433279,434.461721239
620.322357513,448.580087336
608.339840731,462.564924070
596.632752702,476.249918882
589.777387475,484.203886149
UTM LinePoints 26 Points:
518.927623666,469.795295042
541.951487035,443.145856975
UTM LinePoints 27 Points:
516.802589422,421.556091272
541.951487033,443.145856977
UTM LinePoints 28 Points:
541.620115515,489.371450093
564.853057686,462.806520662
UTM LinePoints 29 Points:
541.620115519,489.371450087
518.927623668,469.795295040
UTM LinePoints 30 Points:
566.743302746,511.044690959
541.620115519,489.371450087
UTM LinePoints 31 Points:
541.951487033,443.145856977
564.853057686,462.806520662
UTM LinePoints 32 Points:
564.853057686,462.806520662
589.777387479,484.203886158
UTM LinePoints 33 Points:
516.802589413,421.556091260
511.057462052,428.202252734
499.173628356,441.922126362
493.300799001,447.687977514
UTM LinePoints 34 Points:
518.927623668,469.795295040
493.300799001,447.687977515
UTM LinePoints 35 Points:
493.300799001,447.687977515
435.649881604,397.955436054
UTM LinePoints 36 Points:
435.649881604,397.955436054
368.934208192,475.253432059
UTM LinePoints 37 Points:
509.353900718,312.562936547
435.649881604,397.955436054
UTM LinePoints 38 Points:
368.934208199,475.253432052
331.778565376,443.169080990
UTM LinePoints 39 Points:
331.778565371,443.169080985
311.978958636,467.655907836
275.600472469,510.381981621
253.471085885,536.538394393
231.978983291,561.632031307
208.889323460,588.907411623
191.617026420,609.166200890
UTM LinePoints 40 Points:
509.353900716,312.562936558
470.814175370,279.189829646
UTM LinePoints 41 Points:
470.814175368,279.189829640
463.118076747,287.981356934
425.858885634,331.877634532
396.683486732,366.185579455
369.789163999,397.776970610
340.655817034,432.190354968
331.778565371,443.169080985
UTM LinePoints 42 Points:
606.866490481,199.589860615
568.650982673,165.969413012
UTM LinePoints 43 Points:
-19.888763601,814.627055050
-15.995782335,779.563641753
-14.980275061,775.908477932
-13.513910553,772.777139452
17.080355804,734.967061792
45.932621207,701.030743469
72.023948002,670.344285257
95.433640239,642.748393101
115.085017542,619.891330033
134.935204169,596.662559204
151.382265194,577.271003671
170.794771818,554.786228575
190.443884780,531.665233480
206.691435040,512.539897230
222.737122679,493.469410323
238.986986792,474.555427909
252.073327934,459.159274502
267.560373332,440.886796645
284.531836841,421.226209464
298.178834350,405.190676015
313.505720414,387.078345463
326.873130089,371.415406507
336.114693982,360.230622621
337.050511623,356.681947432
336.909166744,350.766615091
335.770198835,334.401177156
335.864746549,331.758852861
336.890183385,329.054542262
358.580905666,303.483787701
380.154583063,278.336864011
399.364902914,255.748968084
415.015210095,237.527992914
430.904804910,218.934900549
444.754392378,202.844792206
459.882740358,185.051652668
467.829698782,175.533657700
UTM LinePoints 44 Points:
